lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,loan_approved,gender,modified_debt_to_income_ratio
549300OR2C7AGDZFTS24,41180,MO,29189.0,29189216500.0,NC,0,2,755000.0,65.646,360,120,2,1145000.0,1,296.0,39,3,55-64,No,1,2,4702,27.67,76600,201,1180,1106,49,Non-Hispanic White,True,Male,39.0
54930034MNPILHP25H80,10180,TX,48441.0,48441013404.0,C,3,2,245000.0,95.0,360,,2,255000.0,1,62.0,47,1,45-54,No,1,1,8650,19.21,63900,134,2493,3228,16,Non-Hispanic White,True,Male,47.0
549300YKBMBBIIMQJS94,99999,MO,29201.0,29201780400.0,C,9,2,165000.0,80.0,360,,2,215000.0,1,129.0,<20%,2,35-44,No,1,1,5157,6.77,53100,106,1510,2098,30,Non-Hispanic White,True,Male,15.0
549300QO5LH5SP6I8C79,31140,KY,21185.0,21185030401.0,C,1,2,165000.0,62.26,360,,2,265000.0,1,169.0,<20%,1,55-64,No,1,1,6620,10.27,70400,145,1991,2340,27,Non-Hispanic White,True,Male,15.0
549300LAE6XLBPPTPI03,41180,IL,17119.0,17119401721.0,C,3,2,45000.0,80.0,360,,2,55000.0,1,48.0,<20%,2,<25,No,1,2,5661,2.12,76600,101,1660,2203,48,Non-Hispanic White,True,Female,15.0
549300HW662MN1WU8550,16974,IL,17031.0,17031805002.0,C,0,2,195000.0,97.0,360,,2,205000.0,1,72.0,46,2,35-44,No,2,2,6815,37.27,82400,78,1163,984,43,Non-Hispanic White,False,Female,46.0
549300SJTLYB6ZWKPR88,16740,NC,37119.0,37119005834.0,C,71,2,205000.0,100.9756,360,60,2,205000.0,1,63.0,20%-<30%,3,<25,No,1,6,4429,30.64,71300,106,1107,1373,22,Non-Hispanic White,True,Male,25.0
549300KBWX4NV5Q1E376,43524,MD,24031.0,24031700312.0,C,6,2,615000.0,80.0,360,86,2,775000.0,1,196.0,30%-<36%,1,45-54,No,1,1,6020,52.34,118700,112,1495,1748,12,Non-Hispanic Black,True,Male,33.0
SS1TRMSN6BRNMOREEV51,39300,RI,44009.0,44009050402.0,C,0,2,395000.0,94.99,360,,2,415000.0,1,160.0,20%-<30%,9,35-44,No,3,1,2554,7.67,80600,144,981,1254,58,Non-Hispanic Black,False,Male,25.0
254900Q5026VQBAVI394,99999,WI,55135.0,55135100600.0,C,0,2,155000.0,94.97,360,,2,165000.0,1,71.0,39,3,25-34,No,1,1,4994,2.06,67800,117,1664,2916,37,Non-Hispanic White,True,Male,39.0
549300T7AIY7RU1YDP31,17820,CO,8041.0,8041007202.0,C,5,2,405000.0,95.0,360,,2,425000.0,1,122.0,40,1,55-64,No,1,1,9140,15.4,77900,162,2714,3113,19,Non-Hispanic White,True,Male,40.0
N4662XQCE3KKIZ6EZS08,25540,CT,9007.0,9007680100.0,C,6,2,205000.0,80.0,360,,2,255000.0,1,63.0,44,3,45-54,No,1,1,6908,8.29,96700,118,2187,3489,50,Non-Hispanic White,True,Male,44.0
254900LX8DA8FRHUUD51,30300,ID,16069.0,16069960800.0,C,1,2,105000.0,37.879,180,,2,265000.0,1,102.0,<20%,2,55-64,No,1,1,3747,9.39,69200,124,1185,1557,42,Non-Hispanic White,True,Male,15.0
549300QO5LH5SP6I8C79,31140,KY,21111.0,21111008100.0,C,9,2,165000.0,100.88,360,,2,175000.0,1,50.0,30%-<36%,1,25-34,No,1,1,3264,8.49,70400,81,838,1544,76,Non-Hispanic White,True,Male,33.0
5493008GYZEYGLI3NQ97,45104,WA,53053.0,53053062500.0,C,1,2,265000.0,95.0,360,,2,285000.0,1,64.0,47,2,25-34,No,1,1,7917,43.32,74600,72,1458,2695,73,Non-Hispanic White,True,Male,47.0
549300HW662MN1WU8550,26420,TX,48201.0,48201553402.0,C,1,2,185000.0,95.0,360,,2,195000.0,1,67.0,30%-<36%,2,35-44,No,2,1,7452,47.16,75600,144,2254,2639,24,Non-Hispanic White,True,Male,33.0
549300FGXN1K3HLB1R50,99999,WY,56037.0,56037970901.0,C,1,2,315000.0,80.0,360,,2,395000.0,1,73.0,39,1,55-64,Yes,1,1,7332,12.11,80400,99,2116,2464,17,Non-Hispanic White,True,Male,39.0
6BYL5QZYBDK8S7L73M02,43620,SD,46099.0,46099001106.0,C,1,2,175000.0,80.0,360,,2,215000.0,1,196.0,30%-<36%,2,45-54,No,2,2,10716,8.68,78700,127,3085,3456,13,Non-Hispanic White,True,Male,33.0
549300CY7WNAHKHYSJ73,44060,WA,53063.0,53063011000.0,C,3,2,205000.0,95.0,360,,2,215000.0,1,43.0,47,1,25-34,No,1,2,3865,13.3,64000,109,1080,1360,58,Non-Hispanic White,True,Male,47.0
5493005GZIGUJVNL3U40,39300,MA,25005.0,25005614101.0,C,71,2,165000.0,80.0,360,,2,215000.0,2,104.0,20%-<30%,1,45-54,No,1,1,6863,24.03,80600,96,1604,2102,32,Non-Hispanic White,True,Male,25.0
549300FGXN1K3HLB1R50,20020,AL,1069.0,1069040201.0,C,3,2,135000.0,80.0,360,,2,165000.0,1,48.0,43,1,55-64,No,1,2,9714,16.87,53800,168,2438,3297,19,Non-Hispanic White,True,Male,43.0
549300FGXN1K3HLB1R50,36740,FL,12095.0,12095016732.0,C,3,2,355000.0,90.0,360,,2,395000.0,1,192.0,39,3,25-34,No,1,1,15996,57.55,62900,138,4102,5454,12,Non-Hispanic White,True,Male,39.0
549300PFJ7GCGDLB2E65,12060,GA,13135.0,13135050220.0,C,9,2,115000.0,97.0,360,,2,125000.0,1,32.0,49,7,25-34,No,1,1,6235,63.19,74400,57,632,849,25,Non-Hispanic White,True,Female,49.0
549300HFXTV55C2HHM89,38060,AZ,4013.0,4013816900.0,C,1,2,425000.0,95.0,360,,2,445000.0,1,137.0,30%-<36%,1,25-34,No,1,1,4453,21.56,69100,113,1054,1409,9,Non-Hispanic White,True,Male,33.0
549300FNXYY540N23N64,12940,LA,22033.0,22033004509.0,C,6,2,155000.0,90.0,360,,2,175000.0,1,46.0,44,1,45-54,No,1,1,6686,42.78,74500,101,1853,2376,27,Non-Hispanic White,True,Female,44.0
549300T7AIY7RU1YDP31,99999,CO,8065.0,8065961700.0,C,5,2,295000.0,95.0,360,,2,315000.0,1,172.0,42,2,25-34,No,1,1,4950,33.33,67300,109,1145,2801,63,Non-Hispanic White,True,Male,42.0
