lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,gender,modified_debt_to_income_ratio,loan_approved
549300ONBM4MGXXBTA44,36260,UT,49011,49011125801,C,0,2,205000,102.721,360,0,2,195000,1,46,37,3,<25,No,1,6,6886,35.01,76800,69,1249,1814,36,Non-Hispanic White,Male,37,FALSE
549300JYXTZDSPJEPI44,11244,CA,6059,6059042336,C,1,2,375000,75,360,0,2,505000,1,66,49,3,25-34,No,1,1,4846,23.92,92700,155,1371,1603,28,Non-Hispanic White,Female,49,TRUE
549300CY7WNAHKHYSJ73,39580,NC,37183,37183054014,C,1,2,195000,95,360,0,2,205000,1,58,20%-<30%,3,25-34,No,1,1,13715,71.74,84300,64,3104,4101,14,Non-Hispanic White,Female,25,TRUE
54930001NSTOD85LT125,38060,AZ,4013,4013618800,C,3,2,185000,92.347,360,0,2,195000,1,35,48,1,25-34,No,1,2,5056,43.18,69100,52,372,1115,33,Non-Hispanic White,Female,48,TRUE
549300JKR164SLNO6Y85,26420,TX,48339,48339694101,C,0,2,345000,85,360,0,2,405000,1,118,30%-<36%,3,25-34,No,1,1,11334,34.77,75600,68,2751,4000,25,Non-Hispanic White,Male,33,TRUE
549300DT53TVM4JSTM24,12060,GA,13067,13067030230,C,3,2,85000,43.478,360,0,2,185000,1,23,40,9,>74,Yes,1,1,12981,43.48,74400,114,2946,3979,12,Non-Hispanic White,Male,40,TRUE
20TVKH7M13MUBGE80C53,19804,MI,26163,26163532300,C,3,2,215000,90,360,0,2,235000,1,70,30%-<36%,2,25-34,No,1,2,800,80,55500,181,241,425,76,Non-Hispanic White,Female,33,TRUE
549300T7J3E2UGY5GL15,11180,IA,19169,19169010600,C,71,2,165000,95,360,0,2,175000,1,54,39,3,55-64,No,1,1,5426,6.19,79800,90,1631,1914,42,Non-Hispanic White,Female,39,TRUE
549300DPWFIO1S3DF358,17460,OH,39035,39035194100,C,0,2,315000,90.286,360,84,2,355000,1,156,20%-<30%,3,45-54,No,1,2,2288,9.57,70700,119,882,937,49,Non-Hispanic White,Male,25,FALSE
549300JA1J2RX1MKI366,16700,SC,45035,45035010605,C,8,2,65000,31.193,360,0,2,215000,1,44,20%-<30%,2,>74,Yes,1,1,8500,30.07,74500,93,1852,2710,32,Non-Hispanic White,Male,25,TRUE
5493008VVXQIDO1EZ460,21660,OR,41039,41039000300,C,71,2,265000,80,360,0,2,335000,1,112,43,2,25-34,No,1,1,2222,11.93,64100,128,716,943,45,Non-Hispanic White,Male,43,TRUE
54930034MNPILHP25H80,99999,MO,29141,29141470400,C,3,2,65000,95,360,0,2,65000,1,19,39,2,25-34,No,1,2,2129,3.62,53100,130,865,4252,32,Non-Hispanic White,Female,39,TRUE
ZF85QS7OXKPBG52R7N18,31540,WI,55025,55025012001,NC,0,2,545000,88.581,360,84,2,615000,1,268,20%-<30%,1,35-44,No,1,1,8499,18.84,88600,116,2285,2666,21,Non-Hispanic White,Male,25,TRUE
549300EFCZM6KD6B8K69,15804,NJ,34007,34007607300,C,3,2,105000,80,360,0,2,135000,1,158,30%-<36%,3,55-64,No,2,1,4314,28.12,92400,77,1078,1369,54,Non-Hispanic White,Male,33,TRUE
549300DT53TVM4JSTM24,35840,FL,12081,12081000805,C,1,2,195000,90,360,0,2,215000,1,46,42,2,25-34,No,1,1,6265,36.57,70300,98,1667,2169,21,Non-Hispanic White,Male,42,TRUE
2549008LK3474E9U2888,38900,OR,41067,41067030600,C,0,2,165000,69.75,360,0,2,235000,1,61,20%-<30%,7,55-64,Yes,1,2,5359,16.96,81400,124,1433,1842,40,Non-Hispanic White,Male,25,TRUE
549300PXL1KA5TOL2O82,35840,FL,12115,12115001401,C,0,2,455000,78.1,360,0,2,585000,1,90,40,1,65-74,Yes,1,1,7958,12.53,70300,133,2821,3880,17,Non-Hispanic White,Male,40,TRUE
549300GUS13Z72B6KD63,13460,OR,41017,41017000700,C,6,2,195000,95,360,0,2,205000,1,40,42,7,55-64,No,1,1,7954,12.84,69600,106,2206,3294,21,Non-Hispanic White,Male,42,TRUE
549300Y01XP7FO81MC08,36540,NE,31055,31055007470,C,6,2,135000,70,360,0,2,195000,1,58,20%-<30%,1,25-34,No,1,1,6377,22.06,81300,130,1497,1633,13,Non-Hispanic White,Female,25,TRUE
01J4SO3XTWZF4PP38209,32820,TN,47157,47157020820,NC,0,2,695000,80,360,120,2,865000,1,205,45,3,45-54,No,1,1,8600,18.14,63400,199,2594,2999,13,Non-Hispanic White,Male,45,TRUE
2549008LK3474E9U2888,38900,OR,41005,41005021601,C,0,2,395000,100,360,0,2,395000,1,110,36,7,25-34,No,1,5,5956,23.67,81400,74,1095,1834,31,Non-Hispanic White,Male,36,TRUE
254900F9ZTVTX763V835,35614,NJ,34029,34029720206,C,71,2,205000,80,360,0,2,255000,1,54,48,1,25-34,No,1,1,5928,13.17,78000,93,2972,3458,19,Non-Hispanic White,Female,48,TRUE
549300HNJRM4GVCEUP46,31084,CA,6037,6037400602,C,3,1,435000,74.533,360,0,2,585000,1,151,30%-<36%,7,35-44,No,1,2,4288,74.44,69300,93,658,1166,56,Non-Hispanic White,Male,33,TRUE
549300DD4R4SYK5RAQ92,16974,IL,17031,17031010600,C,1,2,165000,80,360,0,2,205000,1,75,30%-<36%,3,25-34,No,1,1,6558,58.37,82400,85,691,503,76,Non-Hispanic White,Female,33,TRUE
5493001R92DY5DI1DI85,16974,IL,17031,17031805001,C,71,2,405000,85,360,0,2,485000,1,155,45,7,35-44,No,1,2,4878,13.78,82400,141,1606,1686,56,Non-Hispanic White,Male,45,TRUE
549300FGXN1K3HLB1R50,99999,NY,36105,36105952500,C,3,1,145000,97,360,0,2,155000,1,43,49,1,25-34,No,1,2,2437,12.93,64300,115,796,1628,41,Non-Hispanic White,Male,49,TRUE
549300TUQC6OYE8A0Y96,38900,OR,41067,41067030803,C,72,2,365000,93.52,360,0,2,385000,1,160,20%-<30%,1,25-34,No,1,1,5031,20.67,81400,90,1431,1821,36,Non-Hispanic White,Male,25,TRUE
549300HW662MN1WU8550,24860,SC,45045,45045003015,C,3,2,235000,97,360,0,2,245000,1,93,38,2,25-34,No,1,2,8407,19.56,64200,168,2484,2845,14,Non-Hispanic Black,Male,38,TRUE
549300D36J5CQX0I4F44,99999,MI,26005,26005030300,C,71,2,175000,74.04,360,0,2,235000,1,73,20%-<30%,1,25-34,No,1,1,7485,8.1,58700,140,2408,2758,31,Non-Hispanic White,Male,25,TRUE
549300CY7WNAHKHYSJ73,17820,CO,8041,8041002502,C,1,2,335000,95,360,0,2,355000,1,101,38,3,35-44,No,1,1,4135,27.52,77900,93,721,907,47,Non-Hispanic White,Male,38,TRUE
E57ODZWZ7FF32TWEFA76,35614,NY,36005,36005022403,C,8,2,75000,63.64,360,0,2,115000,1,55,20%-<30%,1,35-44,No,2,5,3502,83.5,78000,59,101,74,76,Non-Hispanic White,Female,25,TRUE
254900GHOV7VQ9CSKN31,29540,PA,42071,42071011804,C,71,2,275000,90,360,0,2,305000,1,202,20%-<30%,3,25-34,No,1,2,8381,24.41,73800,116,2586,3135,39,Non-Hispanic White,Male,25,TRUE
549300PC4MFWQBNVKG88,23104,TX,48439,48439111013,C,72,2,245000,95,360,0,2,265000,1,126,30%-<36%,9,35-44,No,1,1,8365,56.74,75000,102,2012,2707,12,Non-Hispanic Black,Male,33,TRUE
5493001PXRJMPLXPG540,26820,ID,16019,16019971302,C,1,1,275000,80,360,0,2,345000,1,131,20%-<30%,3,45-54,No,1,1,4856,17.94,62100,132,1369,1863,35,Non-Hispanic White,Male,25,TRUE
549300KTR1JGH3K6LU06,27260,FL,12031,12031014412,C,1,2,235000,95,360,0,2,255000,1,60,41,8,25-34,No,1,1,14612,40.58,69900,175,3726,4097,10,Non-Hispanic White,Male,41,TRUE
5493003V40VGM7YDFM54,39340,UT,49049,49049010305,C,9,2,405000,80,360,0,2,505000,1,118,30%-<36%,1,25-34,No,2,2,2954,10.83,74700,134,676,762,20,Non-Hispanic White,Male,33,TRUE
549300FGXN1K3HLB1R50,34820,SC,45051,45051050500,C,3,2,105000,80.64,360,0,2,125000,1,31,42,3,>74,Yes,1,2,4826,24.58,61700,94,1220,2179,31,Non-Hispanic White,Female,42,TRUE
SS1TRMSN6BRNMOREEV51,40140,CA,6065,6065047900,C,1,2,445000,77,360,0,2,585000,1,327,39,2,55-64,No,2,1,12895,49.9,65800,193,3165,3625,16,Non-Hispanic White,Male,39,TRUE
549300GKFNPRWNS0GF29,38900,OR,41067,41067033301,C,0,2,415000,95,360,0,2,435000,1,211,<20%,1,35-44,No,1,1,6110,27.25,81400,90,1440,1880,23,Non-Hispanic White,Male,15,TRUE
549300VZVN841I2ILS84,48424,FL,12099,12099007912,C,71,2,385000,95,360,0,2,405000,1,168,38,1,35-44,No,1,1,9118,36.49,74300,119,2190,2885,18,Non-Hispanic White,Male,38,TRUE
549300DD4R4SYK5RAQ92,99999,MO,29029,29029950800,C,1,2,125000,80,360,0,2,155000,1,96,47,2,55-64,No,1,1,7828,3.42,53100,85,1999,3179,25,Non-Hispanic White,Female,47,TRUE
549300HW662MN1WU8550,35614,NJ,34029,34029722002,C,3,2,575000,80,360,0,2,815000,1,180,30%-<36%,2,25-34,No,1,2,8652,19.81,78000,107,2923,3130,29,Non-Hispanic White,Male,33,TRUE
549300AENO88GEUWCZ39,99999,WI,55081,55081950900,C,9,2,175000,80,180,0,2,225000,1,106,20%-<30%,3,25-34,No,1,1,5091,5.01,67800,109,1587,2041,39,Non-Hispanic White,Male,25,TRUE
549300DD4R4SYK5RAQ92,31084,CA,6037,6037574400,C,3,2,405000,80,360,0,2,505000,1,129,41,2,25-34,No,1,1,5310,35.14,69300,182,1627,1951,0,Non-Hispanic White,Female,41,TRUE
549300KIOYNU323LVJ37,19740,CO,8059,8059012044,C,5,2,525000,90,360,0,2,665000,1,237,20%-<30%,3,45-54,No,1,1,3842,18.77,89900,147,851,970,22,Non-Hispanic White,Male,25,TRUE
549300FGXN1K3HLB1R50,40900,CA,6061,6061021309,C,0,2,515000,78.4,360,0,2,665000,1,174,37,3,35-44,No,3,1,11193,33.73,80400,141,2687,2774,13,Non-Hispanic White,Male,37,FALSE
SS1TRMSN6BRNMOREEV51,45780,OH,39095,39095008400,C,1,2,65000,80,180,0,2,75000,1,147,36,1,<25,No,2,1,4631,20.99,67200,106,1363,1743,44,Non-Hispanic White,Female,36,TRUE
549300GSYIBSO9N4PB10,28020,MI,26077,26077006103,C,1,1,115000,97,360,0,2,125000,1,29,38,7,25-34,No,1,1,4901,3.96,70300,100,1478,1864,37,Non-Hispanic White,Female,38,TRUE
549300DD4R4SYK5RAQ92,16740,NC,37179,37179021013,C,9,2,325000,99.91,360,0,2,335000,1,76,41,3,45-54,No,1,1,4888,24.41,71300,128,1374,1665,13,Non-Hispanic White,Male,41,TRUE
